station_id,variant,entry_ts,exit_ts,source_run
S12,MODEL_A,1970-01-01T00:08:01.287000+00:00,1970-01-01T00:11:36.394000+00:00,run_0001
S12,MODEL_A,1970-01-01T00:08:57.952000+00:00,1970-01-01T00:12:32.094000+00:00,run_0001
S12,MODEL_A,1970-01-01T00:10:44.032000+00:00,1970-01-01T00:14:18.683000+00:00,run_0001
S12,MODEL_A,1970-01-01T00:11:29.763000+00:00,1970-01-01T00:15:07.963000+00:00,run_0001
S12,MODEL_B,1970-01-01T00:12:29.357000+00:00,1970-01-01T00:16:15.229000+00:00,run_0001
S12,MODEL_A,1970-01-01T00:13:11.648000+00:00,1970-01-01T00:17:16.550000+00:00,run_0001
S12,MODEL_A,1970-01-01T00:14:00.832000+00:00,1970-01-01T00:18:30.380000+00:00,run_0001
S12,MODEL_A,1970-01-01T00:14:54.254000+00:00,1970-01-01T00:19:20.059000+00:00,run_0001
S12,MODEL_A,1970-01-01T00:16:05.432000+00:00,1970-01-01T00:20:32.586000+00:00,run_0001
S12,MODEL_B,1970-01-01T00:17:06.944000+00:00,1970-01-01T00:21:27.122000+00:00,run_0001
S12,MODEL_A,1970-01-01T00:18:03.655000+00:00,1970-01-01T00:22:20.800000+00:00,run_0001
S12,MODEL_A,1970-01-01T00:19:22.190000+00:00,1970-01-01T00:23:39.300000+00:00,run_0001
S12,MODEL_A,1970-01-01T00:20:21.993000+00:00,1970-01-01T00:24:45.854000+00:00,run_0001
S12,MODEL_A,1970-01-01T00:21:12.197000+00:00,1970-01-01T00:25:42.169000+00:00,run_0001
S12,MODEL_B,1970-01-01T00:21:54.918000+00:00,1970-01-01T00:26:47.624000+00:00,run_0001
S12,MODEL_A,1970-01-01T00:22:53.130000+00:00,1970-01-01T00:27:57.799000+00:00,run_0001
S12,MODEL_A,1970-01-01T00:24:18.016000+00:00,1970-01-01T00:29:05.913000+00:00,run_0001
S12,MODEL_A,1970-01-01T00:25:29.143000+00:00,1970-01-01T00:30:03.340000+00:00,run_0001
S12,MODEL_A,1970-01-01T00:26:24.848000+00:00,1970-01-01T00:30:59.188000+00:00,run_0001
S12,MODEL_B,1970-01-01T00:27:09.871000+00:00,1970-01-01T00:32:36.564000+00:00,run_0001
