run_id,rows,positive_rate,threshold,pr_auc,roc_auc,brier,balanced_accuracy,precision,recall,f1,f2,tn,fp,fn,tp,fold,scenario
train_187_accelerating,36049,0.05725540236899775,0.1782343089580536,0.8984116266239647,0.9859536397726767,0.01667722599344773,0.9358867711815404,0.673202614379085,0.8982558139534884,0.7696139476961394,0.8419618528610354,33085,900,210,1854,1,accelerating
train_191_intermittent,36100,0.03814404432132964,0.1782343089580536,0.9035448181586804,0.9941419246849394,0.01052714816464898,0.9416599316541323,0.5955216769890423,0.9077705156136529,0.7192174913693901,0.8216116734586565,33874,849,127,1250,1,intermittent
train_194_severe,32661,0.052294785830195034,0.1782343089580536,0.9479991811404632,0.9953689040973278,0.011502295619773192,0.9418267939811443,0.8343357025697102,0.8934426229508197,0.8628781453208935,0.8809606281029904,30650,303,182,1526,1,severe
train_200_gradual,36186,0.04736638478969767,0.1782343089580536,0.9288071716233383,0.9953446227848527,0.011173877594948454,0.9534065561944242,0.7131294964028777,0.9253208868144691,0.8054850177755206,0.8733480176211453,33834,638,128,1586,1,gradual
train_183_gradual,35383,0.045699912387304635,0.1399349421262741,0.9154319717789484,0.9938730070329058,0.01229051115047451,0.9433192779246713,0.5675057208237986,0.9202226345083488,0.7020523708421798,0.8184818481848185,32632,1134,129,1488,2,gradual
train_184_gradual,35744,0.0424686660698299,0.1399349421262741,0.9394604032571312,0.9950898149146875,0.008754805676232503,0.9555728037926926,0.6368940754039497,0.9347826086956522,0.7576081153230112,0.8548192771084338,33417,809,99,1419,2,gradual
train_192_intermittent,35992,0.0398421871527006,0.1399349421262741,0.9425356899169096,0.9970312376024524,0.008006962367248103,0.946519355853394,0.7456946039035591,0.9058577405857741,0.8180100755667506,0.8685477400374432,34115,443,135,1299,2,intermittent
train_195_severe,34477,0.05319488354555211,0.1399349421262741,0.9510315902091366,0.996453328699081,0.010687539094218004,0.9690359398764554,0.6806625577812019,0.9634678298800436,0.7977426636568848,0.88954893274265,31814,829,67,1767,2,severe
train_185_accelerating,34500,0.052521739130434786,0.16615994274616241,0.8788820273214868,0.9913439756601716,0.016305989105059343,0.9402974702829562,0.7078456870394452,0.9012141280353201,0.7929109007040543,0.8545264259549974,32014,674,179,1633,3,accelerating
train_186_accelerating,35802,0.04784648902295961,0.16615994274616241,0.9132366333222633,0.9949859624518813,0.01286498882934923,0.9464764609421747,0.7621383030897498,0.9071803852889667,0.8283582089552238,0.8739174446069059,33604,485,159,1554,3,accelerating
train_199_baseline,36799,0.0492676431424767,0.16615994274616241,0.9138348985336139,0.9937496391669899,0.012809773017132162,0.9548475760960755,0.6173913043478261,0.9398786541643684,0.7452438224360376,0.8509788254095086,33930,1056,109,1704,3,baseline
train_182_gradual,35888,0.044861792242532325,0.18179279565811157,0.9272354695989572,0.9946060780342243,0.012177369910798458,0.9240227783135264,0.7770915216170691,0.8596273291925466,0.8162783839575346,0.8417467461379394,33881,397,226,1384,4,gradual
train_189_step,35151,0.04796449603140736,0.18179279565811157,0.9196917771378904,0.9938612143953093,0.012112418182814071,0.9548325041353558,0.6630160067396799,0.933570581257414,0.7753694581280788,0.863127878920816,32665,800,112,1574,4,step
train_196_multi_mixed,33857,0.052898957379567,0.18179279565811157,0.8930994195521065,0.9919409482877356,0.014800551097870703,0.9418036215994071,0.671481634337598,0.9084310441094361,0.77218794494542,0.8485449045582559,31270,796,164,1627,4,multi_mixed
train_197_multi_mixed,36009,0.04260046099586214,0.18179279565811157,0.9074852498836493,0.992719229492868,0.011323029478009677,0.9233052596547391,0.6760061130922058,0.8650586701434159,0.7589362310551901,0.8192369428324484,33839,636,207,1327,4,multi_mixed
train_188_step,35156,0.049379906701558764,0.1311091184616089,0.9115152959745012,0.9922718501021767,0.012857453775350585,0.9285982137686255,0.6938496583143507,0.8773041474654378,0.7748664461968965,0.8332421490316227,32748,672,213,1523,5,step
train_190_step,36277,0.046282768696419216,0.1311091184616089,0.9248669218532997,0.9943137500227662,0.011594692743170161,0.9307922345795515,0.7302925136341101,0.8773079213817748,0.797077922077922,0.8433527997251804,34054,544,206,1473,5,step
train_193_intermittent,35624,0.04443633505501909,0.1311091184616089,0.9094830023965121,0.9939129086709624,0.012003364277590488,0.9539907405701159,0.5916334661354582,0.9380922299431459,0.7256291228927437,0.8397421397873784,33016,1025,98,1485,5,intermittent
train_198_multi_hard,33590,0.05016373920809765,0.1311091184616089,0.8919511650007607,0.9910164216188918,0.014474658944235627,0.940858176420447,0.5257836198179979,0.9258160237388724,0.6706792777300086,0.803543834346348,30498,1407,125,1560,5,multi_hard
